Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,GravAcc_X,GravAcc_Y,GravAcc_Z,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,Lat,Long,LocAccuracy,Course,Speed,Altitude
462463527.639156,-0.049072,-0.365219,-0.643661,-0.376885,0.341197,0.255400,-0.346811,-0.334615,-0.876216,0.333230,0.009924,0.071452,0.548873,-0.901017,0.514758,326.995636,328.092346,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.672421,-0.081223,-0.361099,-0.656158,-0.407406,0.348661,0.281641,-0.372388,-0.341640,-0.862908,0.318173,-0.028538,0.284660,0.521576,-0.612355,0.764219,326.552307,327.649017,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.705754,-0.014420,-0.403427,-0.725357,-0.424126,0.353678,0.318366,-0.386053,-0.346350,-0.854988,0.304830,-0.014749,0.198830,0.476807,0.157251,0.974594,324.608154,325.704865,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.739090,-0.173920,-0.356155,-0.766998,-0.424603,0.348164,0.349297,-0.387242,-0.341173,-0.856531,0.296193,-0.007476,0.144891,0.171229,0.373342,0.739520,323.699951,324.796661,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.772445,-0.352661,-0.287231,-0.998199,-0.420631,0.351806,0.372874,-0.383326,-0.344594,-0.856922,0.209407,-0.011562,0.089924,0.473371,0.198816,0.717948,322.436707,323.533417,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.805870,-0.088791,-0.417603,-1.007401,-0.457482,0.330915,0.393964,-0.417727,-0.324909,-0.848492,0.171053,0.003665,-0.201129,-0.139295,-0.572314,-0.314856,320.612366,321.709076,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.838984,-0.423340,-0.464539,-1.070786,-0.455607,0.337168,0.373409,-0.415233,-0.330816,-0.847433,0.090465,-0.163874,-0.071238,-0.213003,-0.202192,-0.467950,320.338776,321.435486,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.872410,-0.024536,-0.597641,-1.077850,-0.461821,0.333573,0.376732,-0.421018,-0.327421,-0.845896,0.141111,-0.124606,-0.296316,-0.083205,0.050429,0.501669,321.979919,323.076630,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.905746,-0.227463,-0.796127,-0.964661,-0.451897,0.310962,0.366220,-0.415730,-0.305974,-0.856474,0.301121,-0.343425,-0.147798,-1.049386,0.116235,-0.548017,322.193726,323.290436,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.939461,-0.469925,-0.447601,-1.029999,-0.445264,0.298254,0.338595,-0.411681,-0.293852,-0.862653,0.044707,-0.325793,-0.008777,-0.478986,-0.363142,0.010133,322.278198,323.374908,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463527.972411,0.171631,-0.663116,-0.954773,-0.465558,0.275697,0.344612,-0.431968,-0.272218,-0.859826,0.212348,-0.229979,-0.168753,-0.630058,-0.380370,0.325138,322.416321,323.513031,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463528.005745,-0.153656,-0.352753,-0.849838,-0.464728,0.266588,0.337232,-0.432348,-0.263442,-0.862365,0.504247,-0.243577,0.002166,-0.147649,0.062601,-0.184341,322.067413,323.164124,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463528.039080,-0.278519,-0.330154,-0.898163,-0.460990,0.279386,0.336343,-0.427586,-0.275765,-0.860885,0.066014,-0.027152,-0.107209,0.564067,0.137574,-0.247970,322.323303,323.420013,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
462463528.072411,-0.360519,-0.254669,-0.733765,-0.459435,0.292131,0.324775,-0.424654,-0.287994,-0.858329,0.134173,-0.039200,-0.013665,-0.027624,-0.233988,-0.684340,321.815277,322.911987,10.000000,28.709477,77.206361,10.000000,259.453125,0.000000,197.324585
