Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,MagX,MagY,MagZ
461772062.572349,0.124802,-0.069672,-0.922546,0.026293,0.172552,-2.974802,0.098475,0.247686,-0.276955,0.435676,-0.283582,0.436185,338.191772,339.286316,10.000000,10.509287,16.611992,-33.053307
461772062.605940,0.129166,-0.160400,-0.835663,0.015559,0.196133,-2.958542,0.111480,0.068642,0.113323,0.802449,-0.236993,0.506846,337.374756,338.469299,10.000000,10.750160,16.851997,-34.147007
461772062.639001,0.118408,-0.161224,-0.851852,0.004484,0.217487,-2.944392,0.106385,0.042681,0.158745,0.507727,-0.237559,0.383817,336.313385,337.407928,10.000000,10.853392,16.269142,-34.180149
461772062.672662,0.120529,-0.125961,-0.897980,-0.001291,0.228013,-2.933684,0.128332,0.086455,0.105968,0.221258,-0.014724,0.275704,333.458466,334.553009,10.000000,11.300732,15.549141,-34.743568
461772062.706177,0.088882,-0.129913,-0.855927,-0.005248,0.236219,-2.919446,0.095175,0.109211,0.104220,0.161703,-0.058294,0.337905,331.962769,333.057312,10.000000,11.920116,15.206291,-35.008705
461772062.738994,0.089432,-0.136292,-0.857697,-0.011399,0.240657,-2.905742,0.092079,0.105360,0.117862,0.152237,-0.089430,0.471127,331.968445,333.062988,10.000000,12.057758,15.617714,-35.406410
461772062.772456,0.072937,-0.165176,-0.915115,-0.014126,0.245409,-2.888070,0.100922,0.084201,0.059602,0.159427,0.130589,0.539751,331.443665,332.538208,10.000000,12.573914,15.857719,-35.770977
461772062.805746,0.025055,-0.198013,-0.893356,-0.011189,0.248925,-2.873458,0.057597,0.063088,0.062791,0.158923,0.108822,0.372820,330.728546,331.823090,10.000000,13.021252,16.303429,-36.135544
461772062.839202,0.041641,-0.237686,-0.866272,-0.010366,0.255111,-2.864264,0.048285,0.035922,0.086831,0.223294,0.096641,0.218489,330.147339,331.241882,10.000000,13.330942,15.994865,-36.367542
461772062.872388,0.053711,-0.269379,-0.869461,-0.009123,0.262497,-2.858318,0.049429,-0.005797,0.117942,0.211964,0.074252,0.160056,329.503326,330.597870,10.000000,13.984741,16.234856,-36.798393
461772062.905305,0.044769,-0.276703,-0.893860,-0.004893,0.269750,-2.853502,0.059449,-0.005360,0.086522,0.119778,0.060059,0.179015,329.165466,330.260010,10.000000,14.432076,16.337715,-36.964108
461772062.938313,0.052689,-0.281601,-0.901764,-0.001820,0.273969,-2.848054,0.050321,-0.007949,0.064052,0.114796,0.073651,0.189823,328.560516,329.655060,10.000000,14.776182,15.789162,-37.361816
461772062.971922,0.071640,-0.281433,-0.919174,0.002708,0.280547,-2.842864,0.060478,0.001796,0.056497,0.187084,0.076954,0.178142,328.207367,329.301910,10.000000,15.120287,15.720589,-37.428104
461772063.005611,0.077225,-0.284958,-1.021027,0.002412,0.282883,-2.839959,0.069324,-0.002308,0.041078,0.117377,0.006030,0.167336,327.933411,329.027954,10.000000,15.670855,15.926308,-37.892097
461772063.038931,0.087784,-0.273697,-1.024475,0.003962,0.289691,-2.834797,0.073992,0.005780,-0.065357,0.202000,-0.004496,0.105866,329.475342,330.569885,10.000000,15.670855,17.503410,-38.554939
461772063.072329,0.102005,-0.313843,-1.073364,0.006285,0.293574,-2.830868,0.098415,0.024864,-0.101107,0.122438,-0.009848,0.180951,330.599609,331.694153,10.000000,15.670855,17.983406,-38.886360
461772063.105755,0.055496,-0.384705,-0.957657,0.001788,0.299068,-2.823215,0.096649,-0.054629,-0.081683,0.210382,-0.170567,0.262526,330.732452,331.826996,10.000000,15.670855,18.737679,-39.549213
461772063.138963,0.061707,-0.340103,-0.979828,-0.006205,0.305759,-2.816477,0.061414,-0.083687,-0.004057,0.000973,-0.316050,0.189176,330.813324,331.907867,10.000000,15.808496,18.463402,-39.748070
461772063.172323,0.010239,-0.040268,-1.286392,-0.013026,0.296115,-2.814319,0.061424,0.106260,-0.175943,-0.629548,-0.214598,0.039384,331.538788,332.633331,10.000000,15.602032,19.011940,-39.549217
461772063.205593,-0.040344,-0.028702,-1.195404,-0.021830,0.271992,-2.812516,0.011459,0.260380,-0.363118,-0.646537,-0.319692,0.107403,332.759277,333.853821,10.000000,14.982645,20.246193,-39.814350
461772063.238940,-0.044724,-0.094086,-0.998840,-0.033389,0.268220,-2.806742,-0.008155,0.236314,-0.231697,0.333940,-0.246115,0.234946,333.293732,334.388275,10.000000,14.466490,21.651863,-39.847492
461772063.272288,-0.019806,-0.251068,-0.814133,-0.039704,0.288989,-2.795030,0.000282,0.110255,0.040037,0.731568,0.020333,0.364654,332.745850,333.840393,10.000000,14.432079,21.480461,-39.946918
461772063.305329,0.007217,-0.244156,-0.916107,-0.043775,0.305580,-2.783011,0.025331,0.039402,0.118210,0.331195,-0.041998,0.304874,332.370453,333.464996,10.000000,14.156794,20.931877,-40.410919
461772063.339086,0.044022,-0.190796,-0.984253,-0.048660,0.308219,-2.773796,0.053566,0.059206,0.035640,-0.068194,0.022132,0.256042,332.005249,333.099792,10.000000,14.638540,21.000450,-40.742344
461772063.372289,0.057877,-0.176407,-0.988373,-0.032883,0.284980,-2.758560,0.094112,0.108485,-0.031910,-0.294223,0.420691,0.461392,332.191467,333.286011,10.000000,14.638540,21.343300,-41.073769
461772063.405657,0.042725,-0.210739,-0.892517,-0.027481,0.279945,-2.740628,0.075160,0.083997,-0.009110,0.024678,0.205113,0.577000,331.684204,332.778748,10.000000,15.326754,22.166130,-40.742344
461772063.438966,0.024155,-0.272064,-0.835464,-0.030657,0.284730,-2.721195,0.072585,0.065017,0.085385,0.262181,-0.043909,0.567875,331.507355,332.601898,10.000000,15.636448,22.131859,-41.040627
461772063.472382,0.015884,-0.295044,-0.789688,-0.036414,0.293392,-2.702689,0.055648,0.006409,0.145797,0.260588,0.045461,0.526711,331.079956,332.174500,10.000000,16.014963,21.960426,-41.537758
461772063.505624,0.019241,-0.327911,-0.826965,-0.036451,0.295640,-2.685344,0.050381,-0.032653,0.175173,-0.065314,0.196578,0.511735,330.529633,331.624176,10.000000,16.014961,21.137566,-42.134323
461772063.538975,0.001694,-0.290192,-0.932266,-0.037195,0.288714,-2.668096,0.046923,-0.037607,0.096437,-0.232147,0.090616,0.521276,330.989716,332.084259,10.000000,16.221424,21.000420,-41.935467
461772063.573453,-0.002533,-0.277328,-0.966675,-0.038832,0.281668,-2.651130,0.038987,-0.012234,0.027603,-0.209579,0.042666,0.523147,331.346313,332.440857,10.000000,15.877319,21.068993,-41.537758
461772063.606194,-0.003845,-0.300766,-0.983292,-0.041627,0.276597,-2.633659,0.027887,-0.007587,-0.028894,-0.052375,0.060552,0.557111,331.346313,332.440857,10.000000,15.877319,21.068993,-41.537758
461772063.638898,-0.006027,-0.289795,-1.035797,-0.043578,0.275294,-2.613037,0.040612,-0.027959,-0.025919,-0.030946,0.119977,0.668926,330.741669,331.836212,10.000000,16.703167,21.343300,-42.068031
461772063.672177,0.003555,-0.270554,-1.082275,-0.044453,0.273326,-2.589480,0.036761,-0.019860,-0.073870,-0.024754,0.203658,0.715721,330.585571,331.680115,10.000000,17.253733,21.206154,-42.068031
461772063.705673,-0.007477,-0.253220,-1.113937,-0.042280,0.272095,-2.566387,0.047838,0.014524,-0.149895,0.029825,0.268220,0.672794,329.193115,330.287659,10.000000,17.322552,21.823296,-41.736618
461772063.738367,0.032394,-0.355896,-0.940186,-0.040282,0.276440,-2.544793,0.023972,-0.017076,-0.124715,0.231744,0.233847,0.613678,327.296539,328.391083,10.000000,18.079586,21.137596,-41.471474
461772063.772237,0.116608,-0.293106,-0.924637,-0.038823,0.283341,-2.525730,0.069660,-0.076331,0.019218,0.179215,0.187017,0.534442,326.617859,327.712402,10.000000,17.976358,20.349037,-41.305759
461772063.805550,0.099869,0.021744,-1.319092,-0.036572,0.276790,-2.507152,0.173021,0.046996,-0.023554,-0.665686,0.099536,0.666720,326.050323,327.144867,10.000000,18.423695,20.177620,-41.272617
461772063.838975,0.090668,-0.019897,-1.237808,-0.035282,0.241716,-2.482282,0.134118,0.261113,-0.348767,-1.115880,0.372661,0.866744,326.229675,327.324219,10.000000,18.458103,20.554756,-41.239479
461772063.872024,0.127075,-0.059433,-0.996872,-0.019612,0.225246,-2.432365,0.136135,0.184223,-0.137539,0.457217,0.552277,1.133175,324.251556,325.346100,10.000000,19.800112,21.000420,-40.543488
461772063.904733,0.156006,-0.256775,-0.791245,-0.017458,0.247705,-2.393545,0.169894,0.006456,0.153229,0.747338,0.222088,1.137463,321.544342,322.638885,10.000000,20.557138,19.971901,-39.946922
461772063.938628,0.107437,-0.203598,-0.855118,-0.022126,0.263597,-2.358051,0.163724,0.013805,0.184995,0.298199,0.119105,1.009393,320.410828,321.505371,10.000000,21.004475,19.046211,-39.516068
461772063.972238,0.082428,-0.144745,-0.941315,-0.023918,0.262382,-2.326186,0.119701,0.083280,0.060790,-0.186419,0.280243,0.900382,319.081116,320.175659,10.000000,21.589455,17.983360,-39.748066
